start_date,age_days,treatment,well_no,larvae_start_num,count,new_set_status,new_dead_status
11/05/2020,2,SD,A1,25,8,1,0
11/05/2020,3,SD,A1,25,4,1,0
11/05/2020,4,SD,A1,25,3,1,0
11/05/2020,6,SD,A1,25,0,1,0
11/05/2020,6,SD,A1,25,0,1,0
11/05/2020,8,SD,A1,25,0,1,0
11/05/2020,9,SD,A1,25,0,1,0
11/05/2020,11,SD,A1,25,0,1,0
11/05/2020,13,SD,A1,25,0,1,0
11/05/2020,14,SD,A1,25,0,1,0
11/05/2020,15,SD,A1,25,0,1,0
11/05/2020,18,SD,A1,25,0,1,0
11/05/2020,20,SD,A1,25,0,1,0
11/05/2020,22,SD,A1,25,0,1,0
11/05/2020,24,SD,A1,25,0,1,0
11/05/2020,2,SD,A2,24,6,1,0
11/05/2020,3,SD,A2,24,3,1,0
11/05/2020,4,SD,A2,24,0,1,0
11/05/2020,6,SD,A2,24,0,1,0
11/05/2020,8,SD,A2,24,0,1,0
11/05/2020,9,SD,A2,24,0,1,0
11/05/2020,11,SD,A2,24,0,1,0
11/05/2020,13,SD,A2,24,0,1,0
11/05/2020,14,SD,A2,24,0,1,0
11/05/2020,15,SD,A2,24,0,1,0
11/05/2020,18,SD,A2,24,4,1,0
11/05/2020,20,SD,A2,24,0,1,0
11/05/2020,22,SD,A2,24,0,1,0
11/05/2020,24,SD,A2,24,0,1,0
11/05/2020,2,SD,A3,24,6,1,0
11/05/2020,3,SD,A3,24,2,1,0
11/05/2020,4,SD,A3,24,0,1,0
11/05/2020,6,SD,A3,24,0,1,0
11/05/2020,8,SD,A3,24,0,1,0
11/05/2020,9,SD,A3,24,0,1,0
11/05/2020,11,SD,A3,24,0,1,0
11/05/2020,13,SD,A3,24,0,1,0
11/05/2020,14,SD,A3,24,0,1,0
11/05/2020,15,SD,A3,24,0,1,0
11/05/2020,18,SD,A3,24,0,1,0
11/05/2020,20,SD,A3,24,0,1,0
11/05/2020,22,SD,A3,24,0,1,0
11/05/2020,24,SD,A3,24,0,1,0
11/05/2020,2,SD,A4,25,6,1,0
11/05/2020,3,SD,A4,25,3,1,0
11/05/2020,4,SD,A4,25,12,1,0
11/05/2020,6,SD,A4,25,1,1,0
11/05/2020,8,SD,A4,25,6,1,0
11/05/2020,9,SD,A4,25,6,1,0
11/05/2020,11,SD,A4,25,6,1,0
11/05/2020,13,SD,A4,25,5,1,0
11/05/2020,14,SD,A4,25,4,1,0
11/05/2020,15,SD,A4,25,4,1,0
11/05/2020,18,SD,A4,25,0,1,0
11/05/2020,20,SD,A4,25,0,1,0
11/05/2020,22,SD,A4,25,0,1,0
11/05/2020,24,SD,A4,25,0,1,0
11/05/2020,6,SD,A5,5,0,1,0
11/05/2020,8,SD,A5,5,3,1,0
11/05/2020,9,SD,A5,5,0,1,0
11/05/2020,11,SD,A5,5,0,1,0
11/05/2020,13,SD,A5,5,0,1,0
11/05/2020,14,SD,A5,5,0,1,0
11/05/2020,15,SD,A5,5,0,1,0
11/05/2020,18,SD,A5,5,0,1,0
11/05/2020,20,SD,A5,5,0,1,0
11/05/2020,22,SD,A5,5,0,1,0
11/05/2020,24,SD,A5,5,0,1,0
11/05/2020,6,SD,A6,10,0,1,0
11/05/2020,8,SD,A6,10,0,1,0
11/05/2020,9,SD,A6,10,2,1,0
11/05/2020,11,SD,A6,10,0,1,0
11/05/2020,13,SD,A6,10,0,1,0
11/05/2020,14,SD,A6,10,0,1,0
11/05/2020,15,SD,A6,10,0,1,0
11/05/2020,18,SD,A6,10,0,1,0
11/05/2020,20,SD,A6,10,0,1,0
11/05/2020,22,SD,A6,10,0,1,0
11/05/2020,24,SD,A6,10,0,1,0
11/05/2020,2,SD,B1,8,0,1,0
11/05/2020,3,SD,B1,8,0,1,0
11/05/2020,4,SD,B1,8,0,1,0
11/05/2020,6,SD,B1,8,0,1,0
11/05/2020,8,SD,B1,8,2,1,0
11/05/2020,13,SD,B1,8,3,1,0
11/05/2020,14,SD,B1,8,0,1,0
11/05/2020,15,SD,B1,8,0,1,0
11/05/2020,18,SD,B1,8,0,1,0
11/05/2020,20,SD,B1,8,0,1,0
11/05/2020,22,SD,B1,8,0,1,0
11/05/2020,24,SD,B1,8,0,1,0
11/05/2020,2,SD,B2,8,3,1,0
11/05/2020,3,SD,B2,8,0,1,0
11/05/2020,4,SD,B2,8,0,1,0
11/05/2020,6,SD,B2,8,3,1,0
11/05/2020,8,SD,B2,8,0,1,0
11/05/2020,9,SD,B2,8,0,1,0
11/05/2020,11,SD,B2,8,0,1,0
11/05/2020,13,SD,B2,8,0,1,0
11/05/2020,14,SD,B2,8,0,1,0
11/05/2020,15,SD,B2,8,0,1,0
11/05/2020,18,SD,B2,8,0,1,0
11/05/2020,20,SD,B2,8,0,1,0
11/05/2020,22,SD,B2,8,0,1,0
11/05/2020,24,SD,B2,8,0,1,0
11/05/2020,2,SD,B3,11,3,1,0
11/05/2020,3,SD,B3,11,1,1,0
11/05/2020,4,SD,B3,11,1,1,0
11/05/2020,6,SD,B3,11,1,1,0
11/05/2020,8,SD,B3,11,0,1,0
11/05/2020,9,SD,B3,11,0,1,0
11/05/2020,11,SD,B3,11,0,1,0
11/05/2020,13,SD,B3,11,0,1,0
11/05/2020,14,SD,B3,11,0,1,0
11/05/2020,15,SD,B3,11,0,1,0
11/05/2020,18,SD,B3,11,0,1,0
11/05/2020,20,SD,B3,11,0,1,0
11/05/2020,22,SD,B3,11,0,1,0
11/05/2020,24,SD,B3,11,0,1,0
11/05/2020,2,SD,B4,8,0,1,0
11/05/2020,3,SD,B4,8,1,1,0
11/05/2020,4,SD,B4,8,1,1,0
11/05/2020,6,SD,B4,8,2,1,0
11/05/2020,8,SD,B4,8,0,1,0
11/05/2020,9,SD,B4,8,2,1,0
11/05/2020,11,SD,B4,8,0,1,0
11/05/2020,13,SD,B4,8,0,1,0
11/05/2020,14,SD,B4,8,0,1,0
11/05/2020,15,SD,B4,8,0,1,0
11/05/2020,18,SD,B4,8,0,1,0
11/05/2020,20,SD,B4,8,0,1,0
11/05/2020,22,SD,B4,8,0,1,0
11/05/2020,24,SD,B4,8,0,1,0
11/05/2020,2,SD,B5,7,0,1,0
11/05/2020,3,SD,B5,7,1,1,0
11/05/2020,4,SD,B5,7,0,1,0
