Sample,depth,n_planulae,cell.sample,ugProtein.sample,cell.protein
SPa,S,20,55000,255.628,215.156
SPb,S,20,23000,188.451,122.048
SPc,S,20,33000,312.094,105.737
SPd,S,20,21000,230.685,91.033
SPe,S,20,43000,264.044,162.851
DPa,D,20,131000,227.395,576.089
DPb,D,20,141000,156.775,899.377
DPc,D,20,131000,157.387,832.342
DPd,D,20,271000,240.173,1128.354
DPe,D,20,8000,81.641,97.99
DPf,D,20,40000,115.765,345.528
SDf,SD,3,215000,109.95,1955.435
SDg,SD,3,111000,101.534,1093.233
SDh,SD,3,270000,95.413,2829.81
