photo_date,exp_start,treatment,colony,polyps,length_um,age
22/05/2020,10/05/2020,SD,B2,1,2138.133,12
22/05/2020,10/05/2020,SD,B2,1,1717.569,12
22/05/2020,10/05/2020,SD,B2,1,1511.475,12
22/05/2020,10/05/2020,SD,B4,1,1506.192,12
22/05/2020,10/05/2020,SD,B4,1,1627.702,12
22/05/2020,10/05/2020,SD,B4,1,1355.99,12
22/05/2020,10/05/2020,SD,B5,1,1766.312,12
22/05/2020,10/05/2020,SS,C2,1,2064.397,12
22/05/2020,10/05/2020,SS,C3,1,2277.91,12
22/05/2020,10/05/2020,SS,C6,1,1097.661,12
22/05/2020,10/05/2020,SS,C6,1,2154.445,12
22/05/2020,10/05/2020,SS,C6,1,2259.907,12
24/05/2020,10/05/2020,SD,B2,1,2395.299,14
24/05/2020,10/05/2020,SD,B2,1,2064.758,14
24/05/2020,10/05/2020,SD,B2,1,2454.121,14
24/05/2020,10/05/2020,SD,B2,1,1979.381,14
24/05/2020,10/05/2020,SD,B2,1,1552.552,14
24/05/2020,10/05/2020,SD,B4,1,1292.081,14
24/05/2020,10/05/2020,SD,B4,1,1813.148,14
24/05/2020,10/05/2020,SD,B5,1,2022.158,14
24/05/2020,10/05/2020,SS,C2,1,2427.678,14
24/05/2020,10/05/2020,SS,C2,1,2147.536,14
24/05/2020,10/05/2020,SS,C3,1,1863.64,14
24/05/2020,10/05/2020,SS,C5,1,2326.459,14
24/05/2020,10/05/2020,SS,C6,1,1555.625,14
24/05/2020,10/05/2020,SS,C6,1,2438.2,14
02/06/2020,10/05/2020,SS,F5,1,2288.993,23
02/06/2020,10/05/2020,SS,F5,1,3251.406,23
09/06/2020,10/05/2020,SD,B2,2,1736.136,30
09/06/2020,10/05/2020,SD,B4,4,2583.225,30
09/06/2020,10/05/2020,SD,B4,3,2436.795,30
09/06/2020,10/05/2020,SD,B4,3,2090.768,30
09/06/2020,10/05/2020,SD,B4,3,2488.123,30
09/06/2020,10/05/2020,SD,B4,1,1390.562,30
09/06/2020,10/05/2020,SS,C3,5,3302.452,30
09/06/2020,10/05/2020,SS,C4,6,2145.446,30
09/06/2020,10/05/2020,SS,C6,4,2748.959,30
09/06/2020,10/05/2020,SS,C6,5,3101.036,30
09/06/2020,10/05/2020,SS,D3,5,2627.961,30
09/06/2020,10/05/2020,SS,D5,5,2390.378,30
09/06/2020,10/05/2020,SS,D6,5,2820.777,30
09/06/2020,10/05/2020,SD,E5,2,1981.077,30
